Report,SSRS_Visual_Status_indicator_StateName,SSRS_Visual_Status_indicator_Red_StartValue,SSRS_Visual_Status_indicator_Red_EndValue,SSRS_Visual_Status_indicator_Green_StartValue,SSRS_Visual_Status_indicator_Green_EndValue,ReportStatus,ReportNote,MinOfLastUpdated,Refresh_Date
All Brands - Current Inventory by Brand(New),Green,0,0,1,1,Green,Report is fine.,11/29/2019 2:24:41 PM,4/14/2020 6:15:39 PM

Brand,SKU,Stock,InventoryDate,IsDropShip
BAL,0664635,4488,2020-04-14 16:00:00,No
BAL,P-WRENCH,4293,2020-04-14 16:00:00,No
BAL,2801596,4229,2020-04-14 16:00:00,No
BAL,5024181,4103,2020-04-14 16:00:00,No
BAL,RTP,3494,2020-04-14 16:00:00,No
BAL,2801579,3181,2020-04-14 16:00:00,No
BAL,2809082,3000,2020-04-14 16:00:00,No
BAL,4002379,2453,2020-04-14 16:00:00,No
BAL,5021444,2317,2020-04-14 16:00:00,No
BAL,5022869,1988,2020-04-14 16:00:00,No
BAL,P-CLIP,1865,2020-04-14 16:00:00,No
BAL,2807953,1691,2020-04-14 16:00:00,No
BAL,P-FUSESM,1531,2020-04-14 16:00:00,No
BAL,5552873,1517,2020-04-14 16:00:00,No
BAL,5023593,1517,2020-04-14 16:00:00,No
BAL,0664636,1512,2020-04-14 16:00:00,No
BAL,2807861,1418,2020-04-14 16:00:00,No
BAL,5024185,1394,2020-04-14 16:00:00,No
BAL,P-STNDKEY,1379,2020-04-14 16:00:00,No
BAL,5024182,1307,2020-04-14 16:00:00,No
BAL,P-FUSEPACK,1284,2020-04-14 16:00:00,No
BAL,5020951,1218,2020-04-14 16:00:00,No
BAL,4002090,1207,2020-04-14 16:00:00,No
BAL,4002993,1075,2020-04-14 16:00:00,No
BAL,5024188,1057,2020-04-14 16:00:00,No
BAL,5024190,1046,2020-04-14 16:00:00,No
BAL,4001674,1025,2020-04-14 16:00:00,No
BAL,2806678,1008,2020-04-14 16:00:00,No
BAL,2808880,1000,2020-04-14 16:00:00,No
BAL,866520023,1000,2020-04-14 16:00:00,Yes
BAL,866520035,1000,2020-04-14 16:00:00,Yes
BAL,866592260,1000,2020-04-14 16:00:00,Yes
BAL,866600023,1000,2020-04-14 16:00:00,Yes
BAL,866600035,1000,2020-04-14 16:00:00,Yes
BAL,867520023,1000,2020-04-14 16:00:00,Yes
BAL,866500035,1000,2020-04-14 16:00:00,Yes
BAL,866502260,1000,2020-04-14 16:00:00,Yes
BAL,866540023,1000,2020-04-14 16:00:00,Yes
BAL,866542260,1000,2020-04-14 16:00:00,Yes
BAL,866590035,1000,2020-04-14 16:00:00,Yes
BAL,867500023,1000,2020-04-14 16:00:00,Yes
BAL,867500035,1000,2020-04-14 16:00:00,Yes
BAL,867540035,1000,2020-04-14 16:00:00,Yes
BAL,867590035,1000,2020-04-14 16:00:00,Yes
BAL,P-KITCCLEDGRN,1000,2020-04-14 16:00:00,No
BAL,866500023,1000,2020-04-14 16:00:00,Yes
BAL,866540035,1000,2020-04-14 16:00:00,Yes
